Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
525,Slopes of Shayol Ghul,,Land,,Common,BR,Slopes of Shayol Ghul enters tapped. {T}: Add {B} or {R}.,,,Land,Slopes of Shayol Ghul — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
526,Stedding Shangtai,,Land,,Rare,C,"{T}: Add {C}. {1}, {T}: Target creature gains hexproof until end of turn. Its controller can't weave this turn. (Within a stedding, the One Power simply is not.)",,,"Land,Hate",Stedding Shangtai — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
527,Tar Valon Crossing,,Land,,Common,WU,Tar Valon Crossing enters tapped. {T}: Add {W} or {U}.,,,Land,Tar Valon Crossing — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
528,The Aiel Wastes,,Legendary Land,,Rare,RG,{T}: Add {R} or {G}. {R}{G}: Create a 1/1 red Aiel Warrior token with haste.,The spear is life. The spear is death.,,Token Generation,Vast desert under sun with red rock formations and hardy plants,"Harsh, warrior-like",Dual Land/Aggro
529,The Tower of Ghenjei,,Legendary Land,,Rare,C,"{T}: Add {C}. {4}, {T}: Draw a card and you lose 2 life. (Courage to strengthen, fire to blind, music to dazzle, iron to bind.)",,,"Land,Draw",The Tower of Ghenjei — Legendary Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
530,The Ways,,Land,,Uncommon,C,The Ways enters tapped. {T}: Add one mana of any color. The Ways deals 1 damage to you. (Something hunts along the dark bridges.),,,Land,The Ways — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
531,The White Tower,,Legendary Land,,Rare,WU,"{T}: Add {W} or {U}. {2}{W}{U}, {T}: Weave. Activate only as a sorcery.","The Tower stands eternal, seat of Aes Sedai power.",,"Weaving,Land",Imposing white stone tower with blue magical aura,"Majestic, orderly",Dual Land/Weaving
532,Forest,,Basic Land — Forest,,Common,G,{T}: Add {G}.,The Aiel Waste holds life for those who understand.,,,Lush green forest or hardy desert scrub,"Natural, wild",Land/Mana
533,Island,,Basic Land — Island,,Common,U,{T}: Add {U}.,The waters of Tear hold ancient secrets.,,,"Deep blue waters with ethereal mist, mysteries beneath","Mystical, flowing",Land/Mana
534,Mountain,,Basic Land — Mountain,,Common,R,{T}: Add {R}.,Fire and passion flow through the Aiel lands.,,,"Jagged red rock formations, sun-scorched peaks","Harsh, dramatic",Land/Mana
535,Plains,,Basic Land — Plains,,Common,W,{T}: Add {W}.,Grasslands of Caemlyn stretch endlessly.,,,"Rolling green hills with white flowers, peaceful and orderly","Pastoral, serene",Land/Mana
536,Swamp,,Basic Land — Swamp,,Common,B,{T}: Add {B}.,Darkspawn gather in the Shadow's domain.,,,"Twisted trees and murky water, corrupted nature","Dark, foreboding",Land/Mana
